Codigo;Nome;Icoef;Coeficientes
1; CAMARGOS     ;0;8.93E+02
1; CAMARGOS     ;1;6.21E-02
1; CAMARGOS     ;2;-1.10E-04
1; CAMARGOS     ;3;1.25E-07
1; CAMARGOS     ;4;-5.55E-11
2; ITUTINGA     ;0;8.86E+02
2; ITUTINGA     ;1;0.00E+00
2; ITUTINGA     ;2;0.00E+00
2; ITUTINGA     ;3;0.00E+00
2; ITUTINGA     ;4;0.00E+00
4; FUNIL-GRANDE ;0;8.08E+02
4; FUNIL-GRANDE ;1;0.00E+00
4; FUNIL-GRANDE ;2;0.00E+00
4; FUNIL-GRANDE ;3;0.00E+00
4; FUNIL-GRANDE ;4;0.00E+00
6; FURNAS       ;0;7.35E+02
6; FURNAS       ;1;3.50E-03
6; FURNAS       ;2;-1.97E-07
6; FURNAS       ;3;6.92E-12
6; FURNAS       ;4;-9.77E-17
7; M. DE MORAES ;0;6.42E+02
7; M. DE MORAES ;1;8.09E-03
7; M. DE MORAES ;2;-3.70E-07
7; M. DE MORAES ;3;-7.11E-11
7; M. DE MORAES ;4;9.12E-15
8; ESTREITO     ;0;1.05E+03
8; ESTREITO     ;1;-1.38E+00
8; ESTREITO     ;2;1.63E-03
8; ESTREITO     ;3;-8.34E-07
8; ESTREITO     ;4;1.60E-10
9; JAGUARA      ;0;5.44E+02
9; JAGUARA      ;1;3.33E-02
9; JAGUARA      ;2;-2.65E-10
9; JAGUARA      ;3;4.42E-13
9; JAGUARA      ;4;-2.78E-16
10; IGARAPAVA    ;0;5.12E+02
10; IGARAPAVA    ;1;0.00E+00
10; IGARAPAVA    ;2;0.00E+00
10; IGARAPAVA    ;3;0.00E+00
10; IGARAPAVA    ;4;0.00E+00
11; VOLTA GRANDE ;0;1.62E+03
11; VOLTA GRANDE ;1;-2.20E+00
11; VOLTA GRANDE ;2;1.61E-03
11; VOLTA GRANDE ;3;-5.22E-07
11; VOLTA GRANDE ;4;6.32E-11
12; P. COLOMBIA  ;0;2.48E+02
12; P. COLOMBIA  ;1;5.87E-01
12; P. COLOMBIA  ;2;-6.06E-04
12; P. COLOMBIA  ;3;2.82E-07
12; P. COLOMBIA  ;4;-4.92E-11
14; CACONDE      ;0;8.16E+02
14; CACONDE      ;1;1.98E-01
14; CACONDE      ;2;-5.74E-04
14; CACONDE      ;3;9.69E-07
14; CACONDE      ;4;-6.33E-10
15; E. DA CUNHA  ;0;6.64E+02
15; E. DA CUNHA  ;1;0.00E+00
15; E. DA CUNHA  ;2;0.00E+00
15; E. DA CUNHA  ;3;0.00E+00
15; E. DA CUNHA  ;4;0.00E+00
16; A.S.OLIVEIRA ;0;5.72E+02
16; A.S.OLIVEIRA ;1;0.00E+00
16; A.S.OLIVEIRA ;2;0.00E+00
16; A.S.OLIVEIRA ;3;0.00E+00
16; A.S.OLIVEIRA ;4;0.00E+00
17; MARIMBONDO   ;0;4.18E+02
17; MARIMBONDO   ;1;1.12E-02
17; MARIMBONDO   ;2;-2.29E-06
17; MARIMBONDO   ;3;2.91E-10
17; MARIMBONDO   ;4;-1.48E-14
18; A. VERMELHA  ;0;3.52E+02
18; A. VERMELHA  ;1;5.00E-03
18; A. VERMELHA  ;2;-2.74E-07
18; A. VERMELHA  ;3;7.10E-12
18; A. VERMELHA  ;4;0.00E+00
20; BATALHA      ;0;7.75E+02
20; BATALHA      ;1;2.64E-02
20; BATALHA      ;2;-1.06E-05
20; BATALHA      ;3;1.99E-09
20; BATALHA      ;4;0.00E+00
21; SERRA FACAO  ;0;6.83E+02
21; SERRA FACAO  ;1;4.87E-02
21; SERRA FACAO  ;2;-1.59E-05
21; SERRA FACAO  ;3;2.67E-09
21; SERRA FACAO  ;4;-1.71E-13
24; EMBORCACAO   ;0;5.68E+02
24; EMBORCACAO   ;1;1.45E-02
24; EMBORCACAO   ;2;-1.20E-06
24; EMBORCACAO   ;3;5.83E-11
24; EMBORCACAO   ;4;-1.12E-15
25; NOVA PONTE   ;0;7.52E+02
25; NOVA PONTE   ;1;1.23E-02
25; NOVA PONTE   ;2;-1.26E-06
25; NOVA PONTE   ;3;7.85E-11
25; NOVA PONTE   ;4;-1.98E-15
26; MIRANDA      ;0;6.85E+02
26; MIRANDA      ;1;-4.02E-03
26; MIRANDA      ;2;-7.94E-07
26; MIRANDA      ;3;2.79E-08
26; MIRANDA      ;4;-1.42E-11
27; CAPIM BRANC1 ;0;5.94E+02
27; CAPIM BRANC1 ;1;3.52E-01
27; CAPIM BRANC1 ;2;-2.16E-03
27; CAPIM BRANC1 ;3;7.36E-06
27; CAPIM BRANC1 ;4;-9.60E-09
28; CAPIM BRANC2 ;0;5.27E+02
28; CAPIM BRANC2 ;1;1.10E-01
28; CAPIM BRANC2 ;2;-1.89E-04
28; CAPIM BRANC2 ;3;1.93E-07
28; CAPIM BRANC2 ;4;-7.45E-11
29; CORUMBA IV   ;0;7.89E+02
29; CORUMBA IV   ;1;3.97E-02
29; CORUMBA IV   ;2;-1.50E-05
29; CORUMBA IV   ;3;3.07E-09
29; CORUMBA IV   ;4;-2.37E-13
30; CORUMBA I    ;0;5.46E+02
30; CORUMBA I    ;1;6.47E-02
30; CORUMBA I    ;2;-3.24E-05
30; CORUMBA I    ;3;7.39E-09
30; CORUMBA I    ;4;0.00E+00
31; ITUMBIARA    ;0;4.71E+02
31; ITUMBIARA    ;1;7.28E-03
31; ITUMBIARA    ;2;-5.61E-07
31; ITUMBIARA    ;3;2.60E-11
31; ITUMBIARA    ;4;-4.85E-16
32; CACH.DOURADA ;0;4.33E+02
32; CACH.DOURADA ;1;0.00E+00
32; CACH.DOURADA ;2;0.00E+00
32; CACH.DOURADA ;3;0.00E+00
32; CACH.DOURADA ;4;0.00E+00
33; SAO SIMAO    ;0;3.58E+02
33; SAO SIMAO    ;1;8.62E-03
33; SAO SIMAO    ;2;-8.84E-07
33; SAO SIMAO    ;3;5.29E-11
33; SAO SIMAO    ;4;-1.24E-15
34; I. SOLTEIRA  ;0;2.94E+02
34; I. SOLTEIRA  ;1;3.60E-03
34; I. SOLTEIRA  ;2;-1.85E-07
34; I. SOLTEIRA  ;3;5.88E-12
34; I. SOLTEIRA  ;4;-7.50E-17
37; BARRA BONITA ;0;4.33E+02
37; BARRA BONITA ;1;1.50E-02
37; BARRA BONITA ;2;-6.71E-06
37; BARRA BONITA ;3;1.76E-09
37; BARRA BONITA ;4;-1.70E-13
38; A.S. LIMA    ;0;4.16E+02
38; A.S. LIMA    ;1;2.63E-02
38; A.S. LIMA    ;2;-9.05E-06
38; A.S. LIMA    ;3;0.00E+00
38; A.S. LIMA    ;4;0.00E+00
39; IBITINGA     ;0;3.93E+02
39; IBITINGA     ;1;1.45E-02
39; IBITINGA     ;2;-2.95E-06
39; IBITINGA     ;3;0.00E+00
39; IBITINGA     ;4;0.00E+00
40; PROMISSAO    ;0;3.70E+02
40; PROMISSAO    ;1;-5.25E-04
40; PROMISSAO    ;2;1.08E-06
40; PROMISSAO    ;3;-1.60E-10
40; PROMISSAO    ;4;7.93E-15
42; NAVANHANDAVA ;0;3.39E+02
42; NAVANHANDAVA ;1;9.10E-03
42; NAVANHANDAVA ;2;-8.02E-07
42; NAVANHANDAVA ;3;0.00E+00
42; NAVANHANDAVA ;4;0.00E+00
43; TRES IRMAOS  ;0;2.93E+02
43; TRES IRMAOS  ;1;5.50E-03
43; TRES IRMAOS  ;2;-3.93E-07
43; TRES IRMAOS  ;3;1.73E-11
43; TRES IRMAOS  ;4;-3.10E-16
45; JUPIA        ;0;2.63E+02
45; JUPIA        ;1;9.07E-03
45; JUPIA        ;2;-1.97E-06
45; JUPIA        ;3;3.00E-10
45; JUPIA        ;4;-1.95E-14
46; P. PRIMAVERA ;0;2.48E+02
46; P. PRIMAVERA ;1;6.74E-04
46; P. PRIMAVERA ;2;-5.90E-09
46; P. PRIMAVERA ;3;0.00E+00
46; P. PRIMAVERA ;4;0.00E+00
47; A.A. LAYDNER ;0;5.43E+02
47; A.A. LAYDNER ;1;6.37E-03
47; A.A. LAYDNER ;2;-6.75E-07
47; A.A. LAYDNER ;3;5.39E-11
47; A.A. LAYDNER ;4;-1.90E-15
48; PIRAJU       ;0;5.31E+02
48; PIRAJU       ;1;0.00E+00
48; PIRAJU       ;2;0.00E+00
48; PIRAJU       ;3;0.00E+00
48; PIRAJU       ;4;0.00E+00
49; CHAVANTES    ;0;4.37E+02
49; CHAVANTES    ;1;6.63E-03
49; CHAVANTES    ;2;-3.75E-07
49; CHAVANTES    ;3;1.06E-11
49; CHAVANTES    ;4;0.00E+00
50; L.N. GARCEZ  ;0;3.84E+02
50; L.N. GARCEZ  ;1;0.00E+00
50; L.N. GARCEZ  ;2;0.00E+00
50; L.N. GARCEZ  ;3;0.00E+00
50; L.N. GARCEZ  ;4;0.00E+00
51; CANOAS II    ;0;3.66E+02
51; CANOAS II    ;1;0.00E+00
51; CANOAS II    ;2;0.00E+00
51; CANOAS II    ;3;0.00E+00
51; CANOAS II    ;4;0.00E+00
52; CANOAS I     ;0;3.51E+02
52; CANOAS I     ;1;0.00E+00
52; CANOAS I     ;2;0.00E+00
52; CANOAS I     ;3;0.00E+00
52; CANOAS I     ;4;0.00E+00
53; PARANAPANEMA ;0;4.99E+02
53; PARANAPANEMA ;1;-1.69E-01
53; PARANAPANEMA ;2;1.06E-01
53; PARANAPANEMA ;3;-5.97E-03
53; PARANAPANEMA ;4;1.14E-04
57; MAUA         ;0;5.89E+02
57; MAUA         ;1;4.02E-02
57; MAUA         ;2;-1.41E-05
57; MAUA         ;3;3.21E-09
57; MAUA         ;4;-3.02E-13
61; CAPIVARA     ;0;2.98E+02
61; CAPIVARA     ;1;7.19E-03
61; CAPIVARA     ;2;-6.63E-07
61; CAPIVARA     ;3;3.95E-11
61; CAPIVARA     ;4;-9.87E-16
62; TAQUARUCU    ;0;2.67E+02
62; TAQUARUCU    ;1;4.77E-02
62; TAQUARUCU    ;2;-5.68E-05
62; TAQUARUCU    ;3;4.36E-08
62; TAQUARUCU    ;4;-1.40E-11
63; ROSANA       ;0;2.44E+02
63; ROSANA       ;1;1.23E-02
63; ROSANA       ;2;-4.18E-06
63; ROSANA       ;3;1.04E-09
63; ROSANA       ;4;-1.12E-13
66; ITAIPU       ;0;1.64E+02
66; ITAIPU       ;1;4.81E-03
66; ITAIPU       ;2;-1.89E-07
66; ITAIPU       ;3;4.21E-12
66; ITAIPU       ;4;-3.77E-17
71; STA CLARA PR ;0;7.66E+02
71; STA CLARA PR ;1;1.69E-01
71; STA CLARA PR ;2;-3.13E-04
71; STA CLARA PR ;3;3.99E-07
71; STA CLARA PR ;4;-2.25E-10
72; FUNDAO       ;0;6.69E+02
72; FUNDAO       ;1;2.78E+00
72; FUNDAO       ;2;-1.12E-01
72; FUNDAO       ;3;2.60E-03
72; FUNDAO       ;4;-2.30E-05
73; JORDAO       ;0;5.75E+02
73; JORDAO       ;1;3.20E-01
73; JORDAO       ;2;0.00E+00
73; JORDAO       ;3;0.00E+00
73; JORDAO       ;4;0.00E+00
74; G.B. MUNHOZ  ;0;6.51E+02
74; G.B. MUNHOZ  ;1;3.50E-02
74; G.B. MUNHOZ  ;2;-6.50E-06
74; G.B. MUNHOZ  ;3;7.78E-10
74; G.B. MUNHOZ  ;4;-3.95E-14
76; SEGREDO      ;0;5.53E+02
76; SEGREDO      ;1;2.47E-02
76; SEGREDO      ;2;-2.10E-06
76; SEGREDO      ;3;0.00E+00
76; SEGREDO      ;4;0.00E+00
77; SLT.SANTIAGO ;0;4.48E+02
77; SLT.SANTIAGO ;1;1.82E-02
77; SLT.SANTIAGO ;2;-2.87E-06
77; SLT.SANTIAGO ;3;3.00E-10
77; SLT.SANTIAGO ;4;-1.27E-14
78; SALTO OSORIO ;0;3.59E+02
78; SALTO OSORIO ;1;8.57E-02
78; SALTO OSORIO ;2;-1.09E-04
78; SALTO OSORIO ;3;8.49E-08
78; SALTO OSORIO ;4;-2.57E-11
82; SALTO CAXIAS ;0;-1.62E+03
82; SALTO CAXIAS ;1;2.21E+00
82; SALTO CAXIAS ;2;-9.51E-04
82; SALTO CAXIAS ;3;1.82E-07
82; SALTO CAXIAS ;4;-1.31E-11
83; BAIXO IGUACU ;0;2.47E+02
83; BAIXO IGUACU ;1;1.08E-01
83; BAIXO IGUACU ;2;-3.36E-04
83; BAIXO IGUACU ;3;4.61E-07
83; BAIXO IGUACU ;4;0.00E+00
86; BARRA GRANDE ;0;5.40E+02
86; BARRA GRANDE ;1;4.46E-02
86; BARRA GRANDE ;2;-8.15E-06
86; BARRA GRANDE ;3;9.32E-10
86; BARRA GRANDE ;4;-4.39E-14
87; CANASTRA     ;0;5.33E+02
87; CANASTRA     ;1;6.32E+01
87; CANASTRA     ;2;-1.10E+02
87; CANASTRA     ;3;1.04E+02
87; CANASTRA     ;4;-4.45E+01
88; SAO ROQUE    ;0;7.18E+02
88; SAO ROQUE    ;1;1.38E-01
88; SAO ROQUE    ;2;-2.27E-04
88; SAO ROQUE    ;3;2.17E-07
88; SAO ROQUE    ;4;-8.38E-11
89; GARIBALDI    ;0;6.93E+02
89; GARIBALDI    ;1;3.96E-02
89; GARIBALDI    ;2;0.00E+00
89; GARIBALDI    ;3;0.00E+00
89; GARIBALDI    ;4;0.00E+00
90; CAMPOS NOVOS ;0;2.43E+02
90; CAMPOS NOVOS ;1;1.07E+00
90; CAMPOS NOVOS ;2;-1.10E-03
90; CAMPOS NOVOS ;3;5.21E-07
90; CAMPOS NOVOS ;4;-9.24E-11
91; MACHADINHO   ;0;4.01E+02
91; MACHADINHO   ;1;5.01E-02
91; MACHADINHO   ;2;-1.57E-05
91; MACHADINHO   ;3;3.30E-09
91; MACHADINHO   ;4;-2.88E-13
92; ITA          ;0;3.17E+02
92; ITA          ;1;8.83E-03
92; ITA          ;2;2.21E-06
92; ITA          ;3;-5.64E-10
92; ITA          ;4;3.68E-14
93; PASSO FUNDO  ;0;5.80E+02
93; PASSO FUNDO  ;1;2.22E-02
93; PASSO FUNDO  ;2;-1.41E-05
93; PASSO FUNDO  ;3;6.34E-09
93; PASSO FUNDO  ;4;-1.15E-12
94; MONJOLINHO   ;0;1.75E+02
94; MONJOLINHO   ;1;3.59E+00
94; MONJOLINHO   ;2;-3.45E-02
94; MONJOLINHO   ;3;1.55E-04
94; MONJOLINHO   ;4;-2.62E-07
95; QUEBRA QUEIX ;0;5.04E+02
95; QUEBRA QUEIX ;1;5.41E-01
95; QUEBRA QUEIX ;2;-1.97E-03
95; QUEBRA QUEIX ;3;3.09E-06
95; QUEBRA QUEIX ;4;0.00E+00
97; CASTRO ALVES ;0;2.10E+02
97; CASTRO ALVES ;1;5.70E-01
97; CASTRO ALVES ;2;-4.10E-03
97; CASTRO ALVES ;3;2.01E-05
97; CASTRO ALVES ;4;-4.01E-08
98; MONTE CLARO  ;0;1.36E+02
98; MONTE CLARO  ;1;1.50E+00
98; MONTE CLARO  ;2;-4.86E-02
98; MONTE CLARO  ;3;1.09E-03
98; MONTE CLARO  ;4;-1.04E-05
99; 14 DE JULHO  ;0;7.97E+01
99; 14 DE JULHO  ;1;9.85E-01
99; 14 DE JULHO  ;2;-1.50E-02
99; 14 DE JULHO  ;3;1.19E-04
99; 14 DE JULHO  ;4;-3.55E-07
101; SAO JOSE     ;0;1.54E+02
101; SAO JOSE     ;1;0.00E+00
101; SAO JOSE     ;2;0.00E+00
101; SAO JOSE     ;3;0.00E+00
101; SAO JOSE     ;4;0.00E+00
102; PASSO S JOAO ;0;1.19E+02
102; PASSO S JOAO ;1;1.86E-01
102; PASSO S JOAO ;2;-1.28E-03
102; PASSO S JOAO ;3;3.84E-06
102; PASSO S JOAO ;4;0.00E+00
103; FOZ CHAPECO  ;0;2.45E+02
103; FOZ CHAPECO  ;1;1.35E-02
103; FOZ CHAPECO  ;2;-1.93E-10
103; FOZ CHAPECO  ;3;8.46E-14
103; FOZ CHAPECO  ;4;-1.39E-17
107; EDGARD SOUZA ;0;7.06E+02
107; EDGARD SOUZA ;1;1.10E+01
107; EDGARD SOUZA ;2;0.00E+00
107; EDGARD SOUZA ;3;0.00E+00
107; EDGARD SOUZA ;4;0.00E+00
108; TRAICAO      ;0;7.15E+02
108; TRAICAO      ;1;1.80E+00
108; TRAICAO      ;2;0.00E+00
108; TRAICAO      ;3;0.00E+00
108; TRAICAO      ;4;0.00E+00
109; PEDREIRA     ;0;7.20E+02
109; PEDREIRA     ;1;1.80E+00
109; PEDREIRA     ;2;0.00E+00
109; PEDREIRA     ;3;0.00E+00
109; PEDREIRA     ;4;0.00E+00
110; ERNESTINA    ;0;4.81E+02
110; ERNESTINA    ;1;1.06E-01
110; ERNESTINA    ;2;-7.04E-04
110; ERNESTINA    ;3;2.59E-06
110; ERNESTINA    ;4;-3.67E-09
111; PASSO REAL   ;0;2.94E+02
111; PASSO REAL   ;1;2.40E-02
111; PASSO REAL   ;2;-9.65E-06
111; PASSO REAL   ;3;2.30E-09
111; PASSO REAL   ;4;-2.12E-13
112; JACUI        ;0;2.66E+02
112; JACUI        ;1;1.14E+00
112; JACUI        ;2;-3.73E-02
112; JACUI        ;3;5.59E-04
112; JACUI        ;4;-1.94E-06
113; ITAUBA       ;0;8.93E+01
113; ITAUBA       ;1;3.14E-01
113; ITAUBA       ;2;-4.38E-04
113; ITAUBA       ;3;3.62E-07
113; ITAUBA       ;4;-1.20E-10
114; D. FRANCISCA ;0;6.89E+01
114; D. FRANCISCA ;1;1.17E-01
114; D. FRANCISCA ;2;-1.76E-04
114; D. FRANCISCA ;3;2.10E-07
114; D. FRANCISCA ;4;-1.17E-10
115; G.P. SOUZA   ;0;8.13E+02
115; G.P. SOUZA   ;1;4.92E-01
115; G.P. SOUZA   ;2;-4.01E-03
115; G.P. SOUZA   ;3;1.95E-05
115; G.P. SOUZA   ;4;-3.80E-08
117; GUARAPIRANGA ;0;7.26E+02
117; GUARAPIRANGA ;1;1.25E-01
117; GUARAPIRANGA ;2;-8.38E-04
117; GUARAPIRANGA ;3;3.64E-06
117; GUARAPIRANGA ;4;-5.88E-09
118; BILLINGS     ;0;7.29E+02
118; BILLINGS     ;1;4.72E-02
118; BILLINGS     ;2;-8.38E-05
118; BILLINGS     ;3;8.24E-08
118; BILLINGS     ;4;-2.92E-11
119; HENRY BORDEN ;0;7.27E+02
119; HENRY BORDEN ;1;0.00E+00
119; HENRY BORDEN ;2;0.00E+00
119; HENRY BORDEN ;3;0.00E+00
119; HENRY BORDEN ;4;0.00E+00
120; JAGUARI      ;0;5.80E+02
120; JAGUARI      ;1;7.41E-02
120; JAGUARI      ;2;-5.98E-05
120; JAGUARI      ;3;3.14E-08
120; JAGUARI      ;4;-6.90E-12
121; PARAIBUNA    ;0;6.62E+02
121; PARAIBUNA    ;1;2.24E-02
121; PARAIBUNA    ;2;-4.40E-06
121; PARAIBUNA    ;3;5.50E-10
121; PARAIBUNA    ;4;-2.84E-14
122; SANTA BRANCA ;0;5.93E+02
122; SANTA BRANCA ;1;1.04E-01
122; SANTA BRANCA ;2;-8.62E-05
122; SANTA BRANCA ;3;0.00E+00
122; SANTA BRANCA ;4;0.00E+00
123; FUNIL        ;0;4.21E+02
123; FUNIL        ;1;1.04E-01
123; FUNIL        ;2;-9.57E-05
123; FUNIL        ;3;4.00E-08
123; FUNIL        ;4;0.00E+00
124; LAJES        ;0;3.88E+02
124; LAJES        ;1;1.52E-01
124; LAJES        ;2;-5.02E-04
124; LAJES        ;3;1.05E-06
124; LAJES        ;4;-8.62E-10
125; STA CECILIA  ;0;3.53E+02
125; STA CECILIA  ;1;0.00E+00
125; STA CECILIA  ;2;0.00E+00
125; STA CECILIA  ;3;0.00E+00
125; STA CECILIA  ;4;0.00E+00
126; PICADA       ;0;6.45E+02
126; PICADA       ;1;3.88E+00
126; PICADA       ;2;-3.80E-01
126; PICADA       ;3;1.90E-02
126; PICADA       ;4;-3.62E-04
127; SOBRAGI      ;0;4.37E+02
127; SOBRAGI      ;1;0.00E+00
127; SOBRAGI      ;2;0.00E+00
127; SOBRAGI      ;3;0.00E+00
127; SOBRAGI      ;4;0.00E+00
129; SIMPLICIO    ;0;2.50E+02
129; SIMPLICIO    ;1;0.00E+00
129; SIMPLICIO    ;2;0.00E+00
