Codigo;Nome;Conjunto;Unidade;Pmin;Pmax;Ton;Toff;StatusInic;Tinic;Barra;MaxTurb;Prod;CustoPartida;CustoDesliga
1;CAMARGOS;1;1;2.3;23;5;5;0;200;15;107;0.9;0;0
1;CAMARGOS;1;2;2.3;23;5;5;0;200;15;107;0.9;0;0
2;ITUTINGA;1;1;1.25;12.5;5;5;0;200;20;58;0.9;0;0
2;ITUTINGA;1;2;1.25;12.5;5;5;0;200;20;58;0.9;0;0
2;ITUTINGA;2;1;1.4;14;5;5;0;200;20;65;0.9;0;0
2;ITUTINGA;3;1;1.4;14;5;5;0;200;20;60;0.9;0;0
4;FUNIL_GRANDE;1;1;6;60;5;5;0;200;20;191;0.9;0;0
4;FUNIL_GRANDE;1;2;6;60;5;5;0;200;20;191;0.9;0;0
4;FUNIL_GRANDE;1;3;6;60;5;5;0;200;20;191;0.9;0;0
6;FURNAS;1;1;15.2;152;5;5;0;200;24;188;0.9;0;0
6;FURNAS;1;2;15.2;152;5;5;0;200;24;188;0.9;0;0
6;FURNAS;1;3;15.2;152;5;5;0;200;24;188;0.9;0;0
6;FURNAS;1;4;15.2;152;5;5;0;200;24;188;0.9;0;0
6;FURNAS;1;5;15.2;152;5;5;0;200;24;188;0.9;0;0
6;FURNAS;1;6;15.2;152;5;5;0;200;24;188;0.9;0;0
6;FURNAS;2;1;15.2;152;5;5;0;200;24;189;0.9;0;0
6;FURNAS;2;2;15.2;152;5;5;0;200;24;189;0.9;0;0
